id;name;description;icon_image;icon_image_content_type;price
1;withdrawal;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;80987
2;Metal;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;52835
3;Kentucky Shoes;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;32518
4;Tasty implementation Bulgarian Lev;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;56126
5;Dynamic Movies;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;10685
6;Cotton Assistant;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;85472
7;Arkansas Computer Brazil;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;10453
8;envisioneer;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;99987
9;Technician microchip;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;68554
10;RSS indexing transmitter;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;44889
