id;latitude;longtude;location_description;total_price;transportation_fee;date;additional_note;order_status;restaurant_payment_staus;transport_payment_status;telegram_user_payment_status
1;48469;32217;../fake-data/blob/hipster.txt;74058;74141;2020-03-21T21:40:56;../fake-data/blob/hipster.txt;CANCELED_BY_RESTAURANT;true;false;true
2;20742;55341;../fake-data/blob/hipster.txt;26312;92349;2020-03-21T20:59:31;../fake-data/blob/hipster.txt;CANCELED_BY_SYSTEM_AND_REMOVED;false;true;true
3;80077;29939;../fake-data/blob/hipster.txt;17935;87953;2020-03-22T00:47:14;../fake-data/blob/hipster.txt;CANCELED_BY_USER;false;false;false
4;40818;60230;../fake-data/blob/hipster.txt;89808;73814;2020-03-21T22:38:23;../fake-data/blob/hipster.txt;ORDERED;false;true;false
5;14754;44552;../fake-data/blob/hipster.txt;59066;95773;2020-03-21T17:21:24;../fake-data/blob/hipster.txt;ORDERED;false;true;false
6;67523;26851;../fake-data/blob/hipster.txt;95082;28808;2020-03-21T22:50:01;../fake-data/blob/hipster.txt;READY_FOR_DELIVERY;false;false;false
7;48932;30058;../fake-data/blob/hipster.txt;45390;9978;2020-03-22T08:40:03;../fake-data/blob/hipster.txt;ACCEPTED_BY_DRIVER;true;true;true
8;4373;67766;../fake-data/blob/hipster.txt;82587;91160;2020-03-22T15:13:09;../fake-data/blob/hipster.txt;ACCEPTED_BY_RESTAURANT;false;true;true
9;73833;78745;../fake-data/blob/hipster.txt;68075;82880;2020-03-22T02:23:59;../fake-data/blob/hipster.txt;STARTED;false;true;true
10;54946;95284;../fake-data/blob/hipster.txt;62347;81276;2020-03-22T08:24:34;../fake-data/blob/hipster.txt;EXPIRED_AND_CANCELED_BY_SYSTEM;false;true;true
