id;jhi_key;value_string;value_number;value_image;value_image_content_type
1;Berkshire New Taiwan Dollar Pine;zero defect teal;28422;../fake-data/blob/hipster.png;image/png
2;quantify scalable Cambridgeshire;payment;25850;../fake-data/blob/hipster.png;image/png
3;value-added withdrawal;infrastructures;80739;../fake-data/blob/hipster.png;image/png
4;Coordinator override Consultant;sky blue Gold;65298;../fake-data/blob/hipster.png;image/png
5;Delaware;Facilitator Avon;3272;../fake-data/blob/hipster.png;image/png
6;withdrawal;Designer Metal Profit-focused;4337;../fake-data/blob/hipster.png;image/png
7;SMTP extensible;HDD;34025;../fake-data/blob/hipster.png;image/png
8;Venezuela Investment Account;TCP;83548;../fake-data/blob/hipster.png;image/png
9;approach website;Computers;61376;../fake-data/blob/hipster.png;image/png
10;haptic reinvent;compelling Chips;13287;../fake-data/blob/hipster.png;image/png
