id;jhi_key;value_string;value_number;value_image;value_image_content_type;value_blob;value_blob_content_type
1;Garden Land Central;Grocery SSL;97320;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png
2;Persevering;open-source circuit;49746;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png
3;functionalities Berkshire Analyst;Home Loan Account Island;69667;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png
4;Liberian Dollar;Branding synthesizing Mouse;93988;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png
5;Saudi Riyal;Illinois Program;63091;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png
6;demand-driven;Investment Account;99506;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png
7;input Assimilated;Tasty Frozen Shoes;51208;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png
8;Azerbaijanian Manat Liaison;Gorgeous Fresh Pizza;59536;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png
9;mint green;Savings Account visualize Executive;36898;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png
10;optical cross-platform bandwidth;Louisiana Forward online;55617;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png
